;Nome;Endereco;Telefone;Avaliação
0;UniCarioca;Av. Paulo de Frontin, 568 - Rio Comprido, Rio de Janeiro - RJ, 20261-243, Brazil;(21) 2563-1919;4.1
1;Universidade Estácio de Sá;R. Morais e Silva, 40 - Maracanã, Rio de Janeiro - RJ, 20271-030, Brazil;0800 021 3737;3.7
2;Anhanguera;R. Neri Pinheiro, 320 - Cidade Nova, Rio de Janeiro - RJ, 20210-020, Brazil;(21) 2158-1870;2.1
3;Candido Mendes University - Tijuca;R. Ibituruna, 75 - Maracanã, Rio de Janeiro - RJ, 20271-021, Brazil;(21) 2570-0722;4.3
4;Veiga de Almeida University;R. Ibituruna, 108 - Maracanã, Rio de Janeiro - RJ, 20271-020, Brazil;(21) 2574-8888;3.7
5;Universidade do Estado do Rio de Janeiro, Campus São Cristovão Centro de Ciência e Tecnologia da Faculdade de Engenharia (CCT-FEN) – Complexo Fonseca Teles (CCTFE);São Cristóvão, Rio de Janeiro - State of Rio de Janeiro, 20941, Brazil;(21) 2332-4734;4.6
6;Faculdade;Estacio de Sa - Tijuca, Rio de Janeiro - RJ, 20271-110, Brazil;Não informado;5.0
7;Mackenzie Business School;R. Marquês de Olinda, 51 - Botafogo, Rio de Janeiro - RJ, 22251-040, Brazil;(21) 2114-5200;4.7
8;Universidade Metodista - Polo Centro Rio;Av. Mal. Floriano, 143/203 - Centro, Rio de Janeiro - RJ, 20080-005, Brazil;(21) 98684-1000;5.0
9;Super Campus Estácio Maracanã;R. Morais e Silva, 40 - Maracanã, Rio de Janeiro - RJ, 20271-030, Brazil;0800 880 6767;3.9
10;Unicesumar - Rio de Janeiro;R. Barão de Mesquita, 159 - Tijuca, Rio de Janeiro - RJ, 20540-005, Brazil;(21) 3173-6353;4.1
11;Universidade Santa Ursula;Rua Fernando Ferrari, 75 - Botafogo, Rio de Janeiro - RJ, 22231-040, Brazil;(21) 2554-8036;4.4
12;Unopar e Anhanguera;Av. Pres. Vargas, 290 - 3 Andar - Centro, Rio de Janeiro - RJ, 20091-060, Brazil;(21) 2253-1768;2.4
13;Programa de Extensão Universidade do Mar - UNIMAR;Bloco E - R. São Francisco Xavier, 524 - Sala 4027 4 º andar - Maracanã, Rio de Janeiro - RJ, 22550-900, Brazil;(21) 2334-0621;Não informado
14;Universidade Estácio de Sá;Av. Pres. Vargas, 642 - Centro, Rio de Janeiro - RJ, 20071-001, Brazil;(21) 4003-6767;4.2
15;Sociedade de Ensino Superior Estácio de Sá;Av. Venezuela, 43 - Saúde, Rio de Janeiro - RJ, 20081-311, Brazil;0800 880 6767;4.7
16;Faculdades Integradas Hélio Alonso;R. Muniz Barreto, 51 - Botafogo, Rio de Janeiro - RJ, 22251-090, Brazil;(21) 2102-3100;4.4
17;Universidade Brasileira;R. Alcindo Guanabara, 25 - Centro, Rio de Janeiro - RJ, 20031-130, Brazil;(21) 3489-9597;5
18;Universidade Indígena Aldeia Maracanã;R. Mata Machado, 126 - Maracanã, Rio de Janeiro - RJ, 20271-260, Brazil;Não informado;Não informado
19;RJ CENTER UNIP;Av. Pres. Antônio Carlos, 607 - 3º andar - Centro, Rio de Janeiro - RJ, 20020-010, Brazil;(21) 96531-1455;4.5
